RSO Name,Committee,Request Description,Type,Requested,Final Allocation
Maria Shelters Resource Connection Program,csf,Maria Shelter RSO,,792.18,396.09
Science Olympiad,csf,Division B Tournament Funding,,4227.0,2290.83
Science Olympiad,csf,Division C Tournament Funding,,5307.0,2290.83
UChicago Computational Biology Outreach,csf,Funding request for transportation to Chicago Public Schools workshop for 20 volunteers,,1336.0,1336.0
Chicago Street Medicine,csf,Providing Supportive Supplies for Street Medicine Patients in the South Side,,4451.0,4451.0
UChicago Computational Biology Outreach,csf,"UCCOMBO Spring Events, DNA Days Transportation Fund",,1336.0,0.0
Organization of Black Students,csf,Funding request for Black Conference 2026,,1921.0,0.0
The University of Chicago Chapter of Partners in Health Engage,csf,Strides in Solidarity - 5k Run,,635.34,0.0
CityStep UChicago,csf,CityStep Spring Showcase,,1123.83,1123.83
Med-ucate,csf,Sheep Heart Dissection at St. Thomas the Apostle School,,248.9,248.9
